linkId,maxDist,medianDist,maxSimDist,medianSimDist,sumCostOfTrees,sumOfOwnCost,upTo90Count,upTo100Count
4326,1595,1457,2807,2142,273081,0,4,5
600,1595,1457,3311,2243,273081,0,4,5
599,1595,1457,2531,1864,168433,0,4,5
598,1860,1457,3388,2296,168760,22,5,6
4683,2059,1457,2610,1793,289158,0,9,11
4684,612,612,3355,3355,271,0,2,2
1827,612,612,3158,3158,271,0,2,2
1826,612,612,1094,1094,271,0,2,2
1823,612,276,1129,1108,356,34,3,3
3173,407,407,535,535,3093,0,2,2
3175,407,407,2043,2043,3093,0,2,2
527,407,407,2381,2381,3093,10,2,2
1597,690,433,3287,2884,13304,3538,4,7
4147,178,93,1663,1653,2833,0,3,3
2738,178,93,4157,2923,2833,0,3,3
2737,178,93,1315,668,2833,0,3,3
2736,178,94,2352,1791,3439,497,4,4
1564,299,299,2216,2216,421,30,2,2
1748,0,0,0,0,3071,565,1,1
4593,924,919,1945,1091,6714,0,2,3
4379,149,149,1432,1432,3986,0,2,2
4378,340,149,2268,2028,2241,0,3,3
4381,242,242,1252,1252,3004,0,2,2
3234,242,242,1617,1617,2097,0,2,2
3233,242,242,263,263,2097,0,2,2
1586,284,207,2855,2040,894,98,4,4
573,220,122,2977,2126,900,249,2,3
536,220,122,4459,3106,900,130,2,3
1640,0,0,0,0,5157,1657,1,1
1641,138,138,1597,1597,5425,816,1,2
2704,951,324,1905,925,4135,491,5,6
2022,305,305,620,620,741,93,1,2
3969,463,301,3229,1657,3171,0,3,4
3968,463,301,2721,2109,3171,0,3,4
4218,0,0,0,0,209,0,1,1
4220,0,0,0,0,209,0,1,1
2577,582,190,3186,2286,4742,1990,2,4
2576,187,110,2408,2331,21766,0,2,3
4132,405,136,3103,2114,4419,0,3,3
2469,0,0,0,0,551,178,1,1
2468,547,236,2693,1848,1475,156,6,7
2467,269,136,2344,716,530,107,3,3
4577,537,213,3519,2119,704,0,3,4
4730,537,213,1770,1422,704,0,3,4
2070,424,382,3722,1927,2540,0,3,4
3333,972,482,2494,1932,15886,0,6,8
2749,1093,926,2966,2337,2648,0,5,6
3169,1270,944,2939,2212,3420,0,4,5
3170,1270,944,3683,2863,3420,0,4,5
2445,0,0,0,0,5624,372,1,1
3073,280,280,1718,1718,12220,0,2,2
5018,530,292,3517,2080,5110,0,3,3
2281,530,292,4211,2339,5110,2453,3,3
281,1097,1097,3578,3578,6083,557,2,2
3072,0,0,0,0,1624,0,1,1
2523,281,69,2725,1141,547,183,3,3
2981,243,173,2408,1403,4338,0,3,4
4633,632,632,2152,2152,701,0,2,2
2578,173,173,631,631,1113,0,1,2
1319,331,291,2707,1756,462,0,3,3
487,327,81,4321,3702,662,4,3,3
486,254,196,1932,291,866,0,3,3
485,254,196,1701,371,866,0,3,3
484,434,251,2758,1812,955,73,3,4
976,501,332,2770,206,791,4,2,3
3368,501,501,1018,1018,669,0,1,2
993,551,65,3152,187,1828,940,2,3
619,490,269,3187,2231,1676,153,4,5
2780,664,353,2847,1801,1528,0,5,6
2950,527,527,1056,1056,33857,5946,2,2
3004,1317,982,4309,3577,4017,0,3,3
3265,659,199,3465,1550,8886,0,3,7
2644,405,405,917,917,9016,7014,1,2
3354,0,0,0,0,5073,0,1,1
1776,0,0,0,0,5073,0,1,1
1775,0,0,0,0,5073,0,1,1
1774,0,0,0,0,5073,17,1,1
1773,0,0,0,0,1824,0,1,1
1772,0,0,0,0,1824,0,1,1
1533,0,0,0,0,1273,0,1,1
2852,385,225,2789,947,2113,101,3,3
2691,207,207,3868,3868,658,107,1,2
3255,207,207,4035,4035,658,0,1,2
495,0,0,0,0,33857,6015,1,1
560,598,300,3208,1782,995,60,3,4
2728,565,141,3429,2002,4939,0,4,4
1274,139,139,2095,2095,2569,0,1,2
1273,534,301,3107,2599,3967,388,6,7
4944,1309,298,2681,2178,4198,0,5,7
5334,2045,298,3788,2603,64271,0,3,4
5333,2045,298,3663,1510,168919,0,3,4
4001,156,156,2360,2360,4594,0,2,2
3351,248,23,3265,1513,667,0,4,4
1062,489,348,3322,2437,1193,324,7,8
2251,276,137,4258,2272,4496,0,4,5
2250,276,137,2935,1492,4496,10,4,5
1517,0,0,0,0,434,13,1,1
2162,229,229,1430,1430,522,154,2,2
597,42,42,1852,1852,2414,166,2,2
2833,640,409,3347,3159,6069,228,7,8
2921,0,0,0,0,5535,0,1,1
2920,0,0,0,0,5535,41,1,1
69,629,500,4372,2337,5232,0,6,11
4641,625,500,3322,2093,3253,0,7,8
1795,269,133,2819,2093,4293,296,4,6
5100,15,15,2416,2416,285,0,2,2
2428,194,137,3560,2011,1971,80,4,4
4509,156,88,1908,1372,510,0,3,3
1759,384,156,3627,2172,575,0,4,4
1061,248,150,4005,3620,655,71,4,5
3022,649,649,2210,2210,3605,0,2,2
73,238,124,2896,1433,693,0,4,5
893,238,124,2857,2212,693,547,4,5
216,1683,834,4121,2538,13598,0,6,7
215,1683,834,3342,2627,13598,2,6,7
2238,0,0,0,0,589,395,1,1
4681,918,593,3693,2499,2330,0,3,4
1203,670,507,2918,2054,631,0,3,3
1202,670,507,3294,2859,631,0,3,3
1201,670,507,2272,1675,631,0,3,3
1200,933,520,1340,1010,12636,0,2,4
3610,317,193,2951,1978,1866,0,4,6
3433,0,0,0,0,220,0,1,1
1391,128,128,1961,1961,437,4,2,2
592,0,0,0,0,97,0,1,1
5220,340,340,3510,3510,385,0,2,2
1333,340,340,4083,4083,385,384,2,2
2274,0,0,0,0,792,133,1,1
886,82,82,3391,3391,535,307,2,2
2273,82,71,3443,1315,1885,444,3,3
1609,0,0,0,0,766,670,1,1
5302,0,0,0,0,766,0,1,1
454,393,187,2373,1212,2689,106,3,4
2905,0,0,0,0,600,57,1,1
5121,0,0,0,0,385,0,1,1
3298,398,137,2289,938,285,0,3,3
5098,398,137,2860,1420,285,0,3,3
665,481,402,3692,2717,1677,170,5,6
907,0,0,0,0,74,21,1,1
3369,63,63,962,962,602,0,2,2
957,63,63,3473,3473,602,27,2,2
416,810,313,3610,3518,1051,52,4,4
3311,257,257,2305,2305,773,0,2,2
347,257,257,1631,1631,773,0,2,2
346,257,179,3076,1766,1325,424,2,3
2702,133,133,3011,3011,1483,67,2,2
2812,0,0,0,0,301,0,1,1
2461,0,0,0,0,463,8,1,1
1889,441,293,3726,2485,1979,420,6,7
250,166,53,2276,1106,573,516,2,4
249,203,53,2648,1413,268,0,3,3
248,203,53,1694,455,268,0,3,3
247,203,53,2562,1790,268,0,3,3
1875,0,0,0,0,305,87,1,1
3761,0,0,0,0,90,0,1,1
1118,424,200,2526,1462,1382,493,4,5
2584,499,307,3964,2223,918,209,4,5
68,435,212,3600,2331,2694,0,4,7
3778,99,99,3891,3891,546,0,2,2
54,0,0,0,0,152,27,1,1
2309,486,235,2105,1552,3088,281,4,5
4528,1109,535,3517,2820,1826,0,4,5
2647,1109,535,2383,1784,1631,0,4,4
4524,648,648,1167,1167,592,0,2,2
2130,648,648,1802,1802,592,0,2,2
2129,1080,648,2587,1617,3970,14,2,3
2154,704,433,2927,1725,2654,160,8,9
2508,1544,578,3621,2298,4202,260,6,7
2567,237,196,2342,1321,591,0,2,3
4228,1090,544,3924,2661,9485,0,5,9
2507,1544,578,3649,2076,2461,0,5,5
2506,1544,578,2707,1394,2461,0,5,5
4628,311,235,2541,1763,2273,0,3,3
2082,682,423,3249,1865,3625,171,3,4
445,423,92,3696,1620,603,140,3,3
951,98,98,1122,1122,614,99,2,2
2714,134,134,2007,2007,241,21,2,2
3236,0,0,0,0,1211,0,1,1
488,81,81,2773,2773,547,0,2,2
2475,100,66,1668,376,1162,236,3,4
1789,720,539,3206,1980,1546,398,6,8
5101,0,0,0,0,80,0,1,1
4521,345,243,1920,1591,1006,0,5,5
4514,345,243,3503,1669,1006,0,5,5
4526,345,243,2717,1821,1006,0,5,5
2128,450,261,2429,1719,2639,1667,5,7
3575,0,0,0,0,3378,0,1,1
2452,0,0,0,0,6596,3450,1,1
2042,720,720,2199,2199,210,0,2,2
2619,492,492,900,900,382,58,2,2
4956,0,0,0,0,459,0,1,1
