trunkId, day1, day2, day3, day4, day5,
8254,46,10,0,0,0,
1177,24,0,5,2,36,
2853,53,59,6,29,0,
3117,66,0,6,7,0,
821,3,0,0,0,0,
3723,8,2,0,0,0,
600,46,56,34,0,37,
3575,4,10,2,12,13,
1803,6,0,8,2,0,
7235,3,0,0,0,0,
3686,8,8,15,9,0,
6135,9,18,0,0,8,
1088,7,0,0,0,0,
4454,20,10,0,13,0,
807,5,0,0,0,0,
3699,25,33,19,30,19,
4793,5,0,0,0,0,
440,30,24,15,7,2,
5056,13,6,0,6,32,
7337,5,0,0,0,0,
73,3,0,0,0,0,
3689,5,15,5,0,0,
633,7,9,3,8,12,
8108,3,19,8,32,40,
6076,6,0,0,0,0,
6427,8,3,0,7,4,
8759,2,0,0,0,0,
1061,24,10,0,0,0,
307,15,0,30,12,0,
3697,12,2,17,0,0,
308,25,4,34,0,52,
7372,56,13,18,0,0,
2089,24,9,17,0,3,
6483,10,0,0,0,0,
8430,14,8,20,0,4,
4460,5,0,0,0,0,
1490,27,9,6,5,0,
3806,8,3,0,0,0,
6843,6,0,8,0,10,
967,14,5,12,0,0,
1045,15,0,19,11,5,
1469,27,0,18,25,0,
7892,19,0,0,0,0,
1383,10,0,0,11,5,
4830,2,0,0,0,0,
1367,3,0,0,0,0,
2349,6,0,0,0,0,
8222,16,9,13,2,0,
4835,6,0,0,0,0,
5306,7,0,0,0,8,
6814,28,0,0,22,29,
4581,42,59,57,21,28,
6088,25,16,0,7,0,
160,33,9,43,14,13,
1212,12,14,0,0,0,
8251,3,15,0,0,0,
5406,6,4,0,0,0,
6877,11,0,0,3,21,
8634,14,6,5,2,0,
3122,96,0,0,91,96,
6011,38,32,35,51,0,
7554,6,10,0,5,10,
455,13,9,0,0,0,
7453,53,53,53,0,56,
6444,70,24,0,69,71,
6620,43,58,35,0,10,
985,3,6,14,0,15,
3817,16,0,20,0,0,
5976,4,0,0,0,0,
2816,9,0,0,0,0,
3709,39,6,0,0,0,
4861,31,0,0,25,0,
7296,10,0,0,0,0,
1716,7,0,13,0,0,
3395,9,0,0,0,0,
3397,11,0,0,0,5,
7743,31,26,0,0,5,
1060,8,2,5,5,2,
1357,13,0,0,9,6,
6461,14,0,13,0,0,
287,14,0,0,0,0,
