trunkId, day1, day2, day3, day4, day5,
1584,0,4,5,0,0,
4569,0,14,2,0,0,
487,0,4,0,0,0,
976,0,21,0,0,0,
2950,0,2,0,0,0,
2644,0,5,7,26,22,
2599,0,16,9,11,7,
2051,0,5,3,3,6,
2372,0,13,13,14,6,
328,0,11,0,0,0,
2852,0,4,0,0,0,
495,0,5,4,0,0,
1828,0,12,58,49,57,
170,0,36,60,0,0,
560,0,12,0,0,0,
2918,0,32,27,32,0,
2049,0,8,8,55,18,
2270,0,23,29,0,0,
1517,0,3,2,0,0,
2884,0,2,0,0,2,
1762,0,6,23,0,7,
400,0,8,7,0,0,
2217,0,7,11,0,30,
2824,0,12,0,0,0,
256,0,13,0,0,0,
649,0,39,13,0,0,
1267,0,28,56,60,64,
217,0,3,0,0,0,
2723,0,4,0,9,25,
1485,0,10,9,0,0,
1903,0,9,8,3,0,
2030,0,5,0,0,0,
660,0,19,14,0,6,
14,0,3,6,0,8,
2446,0,15,14,0,0,
2238,0,13,0,10,0,
805,0,4,0,0,0,
2525,0,14,0,0,18,
1521,0,3,5,0,2,
576,0,51,68,69,0,
2869,0,23,21,0,0,
964,0,6,0,0,0,
2274,0,10,8,0,6,
1853,0,3,0,0,0,
1894,0,25,13,14,18,
1380,0,4,0,0,6,
1609,0,21,0,28,13,
1263,0,2,0,4,3,
1573,0,20,0,10,0,
515,0,25,0,47,12,
2234,0,17,0,19,0,
2691,0,6,12,0,5,
2725,0,5,15,0,14,
2905,0,3,0,0,20,
1934,0,6,4,0,56,
2273,0,5,20,0,33,
907,0,4,0,0,0,
1293,0,23,11,18,0,
2702,0,4,0,7,0,
1340,0,6,5,12,0,
2966,0,14,0,0,4,
841,0,51,49,15,53,
2809,0,9,6,0,0,
2822,0,6,2,5,0,
2461,0,4,0,0,0,
1677,0,11,0,0,6,
1068,0,2,0,37,9,
2844,0,2,0,0,0,
2011,0,38,0,40,0,
250,0,27,0,0,0,
1377,0,6,0,16,13,
1796,0,9,0,0,0,
346,0,9,6,0,0,
1875,0,6,0,0,0,
920,0,4,0,0,0,
701,0,7,0,5,3,
251,0,10,0,0,0,
2282,0,7,11,0,15,
2323,0,6,4,5,0,
2584,0,4,0,4,0,
54,0,3,4,0,0,
2309,0,3,0,2,4,
993,0,44,0,14,9,
2291,0,13,0,17,11,
2156,0,4,2,0,2,
2902,0,3,0,13,0,
2568,0,5,0,12,6,
1664,0,6,2,0,1,
2671,0,17,12,0,7,
2322,0,16,8,5,10,
2459,0,8,5,7,3,
2086,0,9,0,8,0,
688,0,7,0,0,0,
1901,0,6,0,0,0,
751,0,2,2,0,0,
466,0,5,0,0,0,
489,0,5,0,0,12,
866,0,15,27,0,6,
908,0,3,24,25,3,
1335,0,23,22,26,70,
1378,0,9,4,0,10,
342,0,16,0,0,0,
4630,0,3,0,0,0,
1607,0,3,0,2,2,
2475,0,9,15,0,7,
58,0,12,0,7,10,
70,0,10,7,7,22,
640,0,5,0,0,0,
2029,0,8,0,17,13,
2529,0,6,4,0,0,
973,0,9,11,0,10,
1800,0,5,0,0,23,
4620,0,2,0,0,0,
801,0,3,5,4,3,
2401,0,12,24,2,31,
2129,0,3,6,5,19,
2121,0,2,6,0,5,
2452,0,6,13,7,8,
1017,0,6,10,2,0,
1206,0,4,0,0,0,
281,0,2,0,3,0,
472,0,7,7,0,0,
2907,0,14,20,0,0,
34,0,6,0,0,0,
1194,0,5,5,0,0,
1316,0,5,0,0,2,
1858,0,7,24,8,0,
2573,0,11,10,0,0,
921,0,4,0,4,0,
595,0,2,0,0,0,
787,0,9,11,0,0,
2730,0,5,4,7,17,
1056,0,7,2,5,5,
99,0,4,12,6,18,
2151,0,9,4,0,0,
1496,0,3,0,0,0,
2326,0,4,0,11,0,
189,0,3,2,0,0,
2263,0,5,0,6,2,
2166,0,12,0,13,16,
2451,0,3,13,0,2,
10,0,1,0,0,0,
2261,0,2,0,0,0,
2885,0,10,6,12,12,
2935,0,6,0,0,0,
1832,0,6,0,4,12,
2219,0,4,0,0,0,
2036,0,8,0,50,12,
2502,0,17,38,0,0,
2135,0,2,0,0,53,
2571,0,4,0,0,0,
2978,0,22,0,0,0,
2269,0,20,7,29,0,
2321,0,4,0,0,0,
