trunkId, totalCost, maxCost, totalIterations, maxIter, totalSlope, maxSlope, totalBranches, maxBranches, sumOfTempCosts, maximalAvgK, count, maxCostIterationsCount, maxCostBranchesCount, maxBranchesIterationsCount
1002,58.2333333333333,969,69,20,467,212,134,28,44.3333333333333,1.28571428571429,9,8,28,8
2314,96.3833333333333,1745,64,14,604,211,74,21,74.9666666666667,1.2,8,10,9,5
2336,21.2166666666667,337,34,7,320,137,56,15,19.3666666666667,1.33333333333333,6,7,15,7
2914,148.716666666667,3048,92,39,963,682,67,21,133.616666666667,1.17647058823529,5,27,10,14
2762,11,514,19,9,120,120,15,6,8.98333333333333,1.33333333333333,3,9,6,9
704,51.5833333333333,610,55,9,532,261,85,17,21.3333333333333,1.5,10,6,13,5
1385,5.81666666666667,288,13,8,0,0,6,3,0.783333333333333,1,2,8,3,8
2811,239.083333333333,4078,248,55,340,104,87,25,236.3,1.23529411764706,5,47,25,50
493,107.766666666667,4044,112,52,181,79,30,10,45.05,1.11111111111111,4,52,7,5
1190,285.283333333333,4705,85,15,2357,565,112,23,243.3,1.25,9,11,15,15
1254,121.133333333333,3228,45,13,2056,1495,85,17,96.5666666666667,1.125,8,6,17,6
2341,38.9,351,100,18,206,92,129,20,18.5166666666667,1.28571428571429,13,11,19,4
1354,125.716666666667,6206,71,41,565,268,48,12,118.733333333333,1.125,5,41,10,11
1922,22.9,502,33,7,278,172,49,20,10.8,1.25,6,7,13,7
104,13.7166666666667,371,23,7,96,56,13,4,6.13333333333333,1,4,7,4,7
644,31.95,1065,73,30,66,32,69,15,25.0166666666667,1,8,30,8,6
1524,23.35,678,24,5,29,29,48,15,10.0166666666667,1.25,7,4,7,3
1018,61.6166666666667,2297,26,10,300,198,20,6,39.0166666666667,1.25,4,10,3,6
709,465.466666666667,8486,80,14,1595,543,47,7,283.966666666667,1.5,12,13,3,3
2194,26.15,1056,40,20,57,36,20,12,14.9,1.09090909090909,3,14,12,14
140,60.2666666666667,1654,75,46,130,89,68,31,37.6166666666667,1.14814814814815,4,46,10,8
2744,207.333333333333,3177,56,12,1744,634,58,19,88.2,1.11111111111111,5,11,10,11
1144,266.766666666667,8072,116,52,491,195,49,17,269.033333333333,1.18181818181818,4,43,17,43
1030,4.18333333333333,251,3,3,0,0,11,11,0.766666666666667,1.1,1,3,11,3
2894,21.4333333333333,310,67,14,109,28,41,9,10.35,1,9,2,9,2
1313,364.316666666667,13842,157,49,1058,555,110,28,195.783333333333,1.33333333333333,8,49,17,8
2436,28.2333333333333,765,41,11,264,145,22,5,18.0666666666667,1.25,6,10,4,8
116,120.883333333333,1109,83,11,588,109,86,19,61.7333333333333,1.33333333333333,14,11,8,10
1897,9.9,148,34,9,51,29,19,5,6.36666666666667,1.33333333333333,5,9,5,9
2334,8.13333333333333,209,22,9,66,66,14,7,3.73333333333333,1.5,3,9,4,7
2726,10.0166666666667,462,27,16,56,56,14,5,7.33333333333333,1,3,16,4,6
1448,42.3333333333333,1358,59,22,207,148,33,12,14.7166666666667,1.16666666666667,4,22,12,22
2040,139.366666666667,1598,117,16,1163,234,82,16,117.65,1.66666666666667,13,16,16,16
1761,20.05,456,52,24,103,73,33,12,11.9333333333333,1.5,7,24,4,13
2547,14.1,577,38,21,50,26,13,5,11.2333333333333,1.5,3,21,5,21
118,97.1,2824,15,7,481,481,64,55,25.4,1.17021276595745,3,7,5,3
1705,137.183333333333,2323,272,76,147,36,35,9,119.9,1.33333333333333,5,70,9,24
1127,38.95,2199,84,68,33,33,24,13,49.7333333333333,1.18181818181818,3,68,13,68
1163,42.6833333333333,1440,31,13,329,137,36,17,28.8333333333333,1.5,3,13,17,13
2795,67.7,1236,213,60,55,22,18,3,39.05,1,6,59,3,23
2667,76.8833333333333,1819,81,28,180,73,60,18,33.4333333333333,1.14285714285714,5,28,18,28
5364,54.9333333333333,1666,122,58,81,31,36,16,52.75,1.5,4,58,8,13
877,10.3833333333333,235,19,7,0,0,32,13,2.48333333333333,1.14285714285714,4,4,6,7
299,3.61666666666667,142,12,7,31,31,7,4,1.91666666666667,1,2,7,3,5
1356,198.316666666667,4540,57,17,1397,426,28,7,188.066666666667,1,8,11,3,5
1076,11.4,229,20,5,11,11,24,8,7.16666666666667,1.25,5,5,3,4
1026,23.6333333333333,231,84,19,90,31,117,17,14.9333333333333,1.30769230769231,11,19,11,5
1289,4.46666666666667,164,5,3,21,21,7,4,0.666666666666667,1,2,3,4,3
1490,11,239,14,5,23,23,42,16,7.45,1.33333333333333,4,4,11,2
2724,11.8166666666667,200,31,8,77,52,27,5,6.75,1,7,8,5,5
161,36.3833333333333,527,67,14,305,102,81,15,23.9833333333333,1.375,10,14,12,7
565,50.8666666666667,555,60,10,394,210,82,14,24.4,1.33333333333333,11,6,5,10
2633,12.5166666666667,498,24,11,54,33,14,8,5.01666666666667,1,3,11,8,11
1547,11.4,525,17,11,26,26,14,7,4.4,1.16666666666667,2,11,7,11
517,53.1166666666667,1507,43,17,240,95,55,18,7.8,1.28571428571429,6,17,18,17
2448,15.0333333333333,564,20,10,60,60,17,11,3.21666666666667,1,2,10,6,10
1395,2.46666666666667,148,5,5,18,18,6,6,1.06666666666667,1,1,5,6,5
1264,30.8166666666667,861,45,10,381,177,66,35,30.45,1.66666666666667,6,7,15,7
756,5.28333333333333,188,8,5,13,13,14,9,1.81666666666667,1.125,2,3,5,5
988,14.35,179,53,12,21,14,72,15,5.63333333333333,1.2,8,12,8,7
2875,1.93333333333333,116,3,3,0,0,10,10,0.566666666666667,1,1,3,10,3
2290,32.8666666666667,470,71,22,115,62,73,22,16.4,1.6,10,22,9,3
0,655.816666666667,33852,299,259,1131,399,75,14,461.116666666667,1.14285714285714,7,259,5,2
1460,9.05,163,34,10,21,14,23,6,6.05,1.2,5,10,6,7
2593,1.05,63,7,7,0,0,6,6,0.233333333333333,1.2,1,7,6,7
122,6.16666666666667,193,4,2,0,0,13,7,1.71666666666667,1.16666666666667,2,2,6,2
785,28.1666666666667,445,44,8,159,103,64,8,22.3,1.66666666666667,12,6,8,6
713,25.35,870,15,9,350,259,42,29,14.55,1.11538461538462,2,6,29,6
1249,18.8333333333333,372,26,6,270,127,40,14,7.63333333333333,1.14285714285714,6,4,14,4
1066,114.983333333333,2773,83,26,440,110,101,14,89.6333333333333,1.2,13,26,11,7
36,87.5333333333333,5055,57,37,415,410,23,17,113.416666666667,1.22222222222222,2,37,17,37
863,1.4,84,12,12,2,2,7,7,0.333333333333333,1,1,12,7,12
2339,47.05,1053,63,16,321,143,107,21,17.7333333333333,1.25,9,16,16,5
1443,597.183333333333,10030,119,28,2429,791,96,23,552.6,1.42857142857143,6,28,23,28
2518,28.8333333333333,1594,13,11,2,2,44,37,10.0166666666667,1.27777777777778,2,11,37,11
779,87.45,3415,35,19,232,193,32,18,57.3166666666667,1.2,3,19,8,11
497,35.6833333333333,1708,71,26,97,78,55,23,42.3666666666667,1.3125,5,26,23,26
647,63.8166666666667,2089,101,38,132,55,58,21,48.5833333333333,1.16666666666667,5,38,12,9
1963,22.4666666666667,334,56,16,132,33,39,14,18.8166666666667,1.18181818181818,7,10,14,10
2224,2.2,132,4,4,50,50,3,3,2.01666666666667,1,1,4,3,4
2512,7.4,180,20,6,62,38,36,15,3.1,1.2,4,6,6,3
355,4.01666666666667,109,11,7,0,0,13,6,2.43333333333333,1.2,3,2,6,2
939,6.7,402,2,2,0,0,7,7,4.23333333333333,1.16666666666667,1,2,7,2
2817,101.233333333333,2583,127,51,336,270,67,32,110.766666666667,1.35714285714286,4,24,32,24
1600,124.55,2826,151,58,162,73,29,8,31.1,1,4,58,8,54
365,28.2,702,38,14,263,111,42,19,20.4166666666667,1.14285714285714,3,14,5,10
1189,82.35,1491,119,40,674,304,119,26,59.8833333333333,1.25,12,9,26,9
2821,34.7,492,129,23,85,43,108,16,15.3833333333333,1.25,13,23,6,7
1020,21.15,377,24,12,116,89,56,17,10.0333333333333,1.16666666666667,5,3,10,12
1272,37.65,922,45,10,215,139,70,18,18.6333333333333,1.22222222222222,8,10,15,9
1764,138.966666666667,3633,112,49,279,109,30,12,77.1833333333333,1.33333333333333,4,49,3,15
273,20.1833333333333,337,40,10,65,37,42,8,11.2333333333333,1.16666666666667,7,10,5,3
2041,13.95,837,22,22,66,66,8,8,19.9,1.4,1,22,8,22
2136,3.53333333333333,137,9,6,21,21,7,4,1.3,1.5,2,6,3,3
