linkId,maxDist,medianDist,maxSimDist,medianSimDist,sumCostOfTrees,sumOfOwnCost,upTo90Count,upTo100Count
430,326,191,2729,1281,645,107,4,4
2298,0,0,0,0,76,0,1,1
289,0,0,0,0,173,73,1,1
2993,0,0,0,0,348,0,1,1
2991,0,0,0,0,348,0,1,1
1923,0,0,0,0,61,21,1,1
392,0,0,0,0,2402,0,1,1
391,0,0,0,0,2402,0,1,1
390,0,0,0,0,2402,0,1,1
607,109,77,2269,1100,1069,72,3,4
11,0,0,0,0,1028,0,1,1
5339,0,0,0,0,523,0,1,1
3063,653,373,2510,1505,2320,0,3,3
1481,0,0,0,0,344,36,1,1
2785,100,66,987,842,737,15,3,3
2751,0,0,0,0,848,0,1,1
4712,0,0,0,0,1364,0,1,1
5356,0,0,0,0,293,0,1,1
5354,0,0,0,0,293,0,1,1
5352,0,0,0,0,293,0,1,1
259,266,266,2112,2112,370,0,2,2
282,0,0,0,0,158,68,1,1
5301,0,0,0,0,97,0,1,1
284,0,0,0,0,97,0,1,1
283,0,0,0,0,97,4,1,1
4001,0,0,0,0,2327,0,1,1
3075,0,0,0,0,395,0,1,1
2375,0,0,0,0,395,366,1,1
2820,0,0,0,0,395,0,1,1
5295,0,0,0,0,559,0,1,1
1013,0,0,0,0,559,169,1,1
601,0,0,0,0,118,0,1,1
606,0,0,0,0,118,0,1,1
605,0,0,0,0,118,0,1,1
4713,0,0,0,0,1299,0,1,1
1151,0,0,0,0,61,0,1,1
5090,0,0,0,0,61,0,1,1
5092,0,0,0,0,61,0,1,1
2787,24,24,1481,1481,1456,0,1,2
2786,24,24,1044,1044,1456,532,1,2
2519,66,66,534,534,533,210,2,2
4024,0,0,0,0,229,0,1,1
2625,0,0,0,0,229,0,1,1
2624,0,0,0,0,229,0,1,1
2623,0,0,0,0,229,0,1,1
3131,0,0,0,0,106,0,1,1
4929,0,0,0,0,293,0,1,1
4930,0,0,0,0,293,0,1,1
4931,0,0,0,0,293,0,1,1
1419,0,0,0,0,293,64,1,1
1420,0,0,0,0,293,85,1,1
3188,0,0,0,0,558,0,1,1
