trunkId, totalCost, maxCost, totalIterations, maxIter, totalSlope, maxSlope, totalBranches, maxBranches, sumOfTempCosts, maximalAvgK, count, maxCostIterationsCount, maxCostBranchesCount, maxBranchesIterationsCount
8342,2.71666666666667,163,8,8,21,21,14,14,0.933333333333333,1.08333333333333,1,8,14,8
1387,18.3666666666667,559,24,15,62,32,14,5,6.35,1,3,4,5,15
4969,29.0666666666667,286,40,8,87,34,58,12,6.56666666666667,1,11,8,3,4
8473,1.31666666666667,79,6,6,15,15,4,4,0.55,1,1,6,4,6
1066,18.1833333333333,336,35,10,48,23,25,10,5.55,1.42857142857143,5,9,5,6
4279,10.8,173,42,18,10,10,52,11,2.96666666666667,1.14285714285714,6,8,8,8
8659,3.75,225,10,10,17,17,4,4,3.03333333333333,1,1,10,4,10
6385,2.35,141,2,2,0,0,11,11,0.8,1.375,1,2,11,2
3722,3.75,225,7,7,12,12,5,5,2.01666666666667,1,1,7,5,7
4058,3.16666666666667,111,14,7,6,5,12,8,0.966666666666667,1,2,7,4,7
481,35.5666666666667,815,28,8,336,118,37,14,19.6833333333333,1.66666666666667,5,8,5,5
3745,9.68333333333333,192,15,5,0,0,24,8,6.55,1.33333333333333,4,4,7,3
8067,5.71666666666667,241,6,4,0,0,19,11,1.21666666666667,1.1,2,4,11,4
1911,4.38333333333333,263,2,2,0,0,5,5,0.25,1.25,1,2,5,2
3490,3.78333333333333,126,8,4,0,0,12,7,1.35,1,2,4,5,4
8006,7.35,217,16,5,58,43,47,15,3.76666666666667,1.16666666666667,4,5,14,3
419,1.4,84,5,5,6,6,8,8,0.7,1,1,5,8,5
1605,2.16666666666667,130,2,2,0,0,3,3,0.7,1,1,2,3,2
2293,6.03333333333333,293,8,6,0,0,10,7,0.7,1.16666666666667,2,2,7,2
1085,1.25,75,6,6,0,0,7,7,0.533333333333333,1.16666666666667,1,6,7,6
5010,3.15,189,3,3,34,34,3,3,2.25,1,1,3,3,3
1459,3.65,75,11,5,0,0,10,4,1.36666666666667,1,3,4,3,2
2038,1.3,78,2,2,0,0,6,6,0.55,1,1,2,6,2
6018,2.46666666666667,148,478,478,0,0,9,9,3.61666666666667,1.125,1,478,9,478
2131,1.75,105,2,2,0,0,4,4,0.816666666666667,1,1,2,4,2
325,7.1,341,14,7,29,29,13,8,1.71666666666667,1,2,7,5,7
1073,6.6,186,38,15,23,20,21,9,3.26666666666667,1.25,4,15,6,9
6273,9.13333333333333,209,20,6,0,0,31,9,1.36666666666667,1,4,3,8,5
919,13.6333333333333,328,17,5,34,15,20,6,2.06666666666667,1.2,4,4,5,5
3721,25.1166666666667,319,40,9,149,87,63,14,13.2,1,10,9,4,3
229,14.8,888,29,29,34,34,6,6,1.23333333333333,1,1,29,6,29
8517,1.15,69,21,21,5,5,4,4,0.216666666666667,1,1,21,4,21
1283,5.41666666666667,124,26,19,39,38,15,6,2.11666666666667,1,3,19,3,4
1395,15.7666666666667,436,32,11,53,31,39,14,7.28333333333333,1.2,5,6,14,6
666,9.11666666666667,372,8,5,22,22,11,7,2.68333333333333,1,2,5,7,5
2508,7.95,259,25,12,11,11,15,7,2.51666666666667,1,3,12,7,12
275,2.63333333333333,158,4,4,17,17,13,13,1.33333333333333,1.08333333333333,1,4,13,4
1128,20.2166666666667,566,56,32,81,30,32,11,21.5,1.22222222222222,4,32,11,32
5685,34.25,2055,2,2,0,0,10,10,2.81666666666667,1,1,2,10,2
2505,3.15,96,10,6,0,0,12,6,0.95,1,2,4,6,4
1354,8.2,181,9,5,30,30,22,11,1.81666666666667,1,3,2,8,5
2700,10.4333333333333,555,12,6,106,106,18,15,7.11666666666667,1.16666666666667,2,6,15,6
257,27.4333333333333,1299,107,55,24,20,7,4,9.13333333333333,1,2,52,4,52
327,13.3166666666667,799,22,22,64,64,6,6,6.6,1,1,22,6,22
4705,8.01666666666667,210,12,6,69,69,18,7,3.43333333333333,1.25,3,6,6,2
1123,9.9,399,5,3,0,0,9,5,0.383333333333333,1,2,2,5,2
902,1.16666666666667,70,466,466,0,0,8,8,1.01666666666667,1,1,466,8,466
1027,2.85,108,5,3,0,0,11,6,0.9,1.25,2,2,6,2
2629,3.85,148,19,10,34,29,27,14,2.01666666666667,1.08333333333333,2,10,14,10
4976,51.25,988,55,12,256,142,38,9,16.2333333333333,1.2,9,5,5,3
2025,1.95,117,6,6,35,35,3,3,1.43333333333333,1,1,6,3,6
8007,20.9666666666667,281,40,8,107,56,53,10,6.83333333333333,1.5,8,5,5,8
2854,22.8666666666667,1372,36,36,31,31,8,8,2.51666666666667,1,1,36,8,36
1205,10.3666666666667,230,19,7,70,45,19,11,4.7,1.33333333333333,3,6,11,6
3539,2.75,91,7,4,5,5,12,7,2.48333333333333,1.4,2,3,7,3
58,13.0833333333333,785,76,76,11,11,4,4,7.2,1,1,76,4,76
2726,21.7,1061,27,10,35,35,13,5,1.35,1.5,3,9,4,10
2001,4.63333333333333,185,7,4,66,66,8,5,2.65,1.5,2,3,3,4
8635,12.75,316,27,15,340,243,33,11,8.66666666666667,1.375,4,6,11,6
239,1.28333333333333,77,7,7,0,0,7,7,0,1,1,7,7,7
395,4.8,195,16,9,0,0,18,9,1.11666666666667,1.28571428571429,2,9,9,7
1000,7.98333333333333,191,18,5,63,63,44,12,3.9,1.125,5,5,9,2
6346,2.48333333333333,79,12,6,0,0,14,9,0.633333333333333,1,2,6,5,6
966,1.8,108,3,3,0,0,4,4,0.883333333333333,1,1,3,4,3
761,1.43333333333333,86,6,6,0,0,14,14,0.75,1.07692307692308,1,6,14,6
987,14.7,303,27,8,107,50,24,7,7.06666666666667,1.16666666666667,5,8,5,5
8432,5.68333333333333,143,20,7,0,0,20,5,0.966666666666667,1,4,7,5,5
6230,1.73333333333333,104,6,6,18,18,6,6,1.38333333333333,1.2,1,6,6,6
3555,4.16666666666667,250,2,2,0,0,4,4,0.3,1.33333333333333,1,2,4,2
5684,8.68333333333333,237,15,6,87,47,27,10,5.18333333333333,1.11111111111111,3,6,8,6
7833,4.9,181,25,15,20,10,11,6,3.36666666666667,1.2,2,15,6,15
6569,36.4333333333333,2186,60,60,34,34,5,5,12.95,1,1,60,5,60
2699,3.81666666666667,147,11,9,20,20,14,9,1.56666666666667,1.125,2,9,9,9
8016,36.7333333333333,1387,74,43,101,54,21,6,31.45,1.33333333333333,5,43,4,4
4121,111.516666666667,3567,121,66,40,29,15,8,26.0166666666667,1.16666666666667,2,66,8,66
527,15.8833333333333,404,42,25,41,24,16,6,10.5,1,4,25,3,2
5683,5.61666666666667,228,11,6,71,71,20,12,1.43333333333333,1,2,5,12,5
5998,33.0166666666667,1459,66,29,192,68,42,21,29.6,1.33333333333333,5,29,21,29
52,12.9,648,10,6,151,106,9,6,11.3,1,2,6,6,6
8476,153.75,8544,79,61,164,102,24,15,45.9666666666667,1.25,3,61,15,61
4234,80.6333333333333,2804,68,37,66,66,9,6,26.7333333333333,1,2,37,6,37
2497,3.11666666666667,94,15,8,14,10,11,7,1.1,1.25,2,7,7,7
7952,1.83333333333333,110,5,5,0,0,6,6,1.53333333333333,1,1,5,6,5
3859,6.36666666666667,177,19,10,12,12,28,11,2.11666666666667,1.1,3,7,7,2
8040,27.7,1155,62,40,43,25,10,5,8.83333333333333,1,2,40,5,40
5997,4.48333333333333,125,19,11,9,9,26,18,1.25,1.28571428571429,3,11,18,11
626,68.2666666666667,3641,44,24,205,163,43,25,69.0833333333333,1.5,4,24,25,24
4605,16.1833333333333,571,25,15,129,129,21,10,14.6,1.25,3,15,7,5
3799,4.15,183,16,12,18,14,11,6,2.81666666666667,1.5,2,12,5,4
6537,4.31666666666667,188,4,2,0,0,10,5,0.683333333333333,1.25,2,2,5,2
5867,3.1,120,17,13,4,4,10,6,1.23333333333333,1.5,2,13,4,4
3583,4.03333333333333,242,2,2,0,0,19,19,0.516666666666667,1.05555555555556,1,2,19,2
175,11.3166666666667,233,32,14,40,23,19,6,6.06666666666667,1.66666666666667,4,14,4,2
6000,6.15,138,31,14,7,7,26,12,3.45,1.125,3,14,9,11
250,2.73333333333333,84,7,5,18,18,15,9,0.75,1,2,5,9,5
711,10.9166666666667,289,37,18,11,11,43,18,7.56666666666667,1.33333333333333,4,7,18,7
144,6.46666666666667,179,14,7,34,19,12,5,2.48333333333333,1.33333333333333,3,7,3,4
2495,1.73333333333333,104,6,6,0,0,7,7,0.0333333333333333,1,1,6,7,6
6270,2.73333333333333,164,3,3,0,0,6,6,0.183333333333333,1,1,3,6,3
8312,22.6833333333333,659,14,6,54,54,24,10,12.25,1.2,3,6,7,6
231,11.0333333333333,413,33,20,38,21,20,8,7.16666666666667,1,3,20,8,20
